Fund,Service,Department,Program,Account Description,Fiscal Year Range,Division,Service Area,Org Code,Fund Code,Project Code,Project Description,Program Code,Program Description,Account Type,Account Code,Amount,Budget Type,Budget Name,Amount as number,,,
General Fund,Administration,Cable Television Franchise Subfund,Cable Television Franchise Fund,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,642000,3,Proposed,642000,,,
General Fund,Administration,Information Technology,IT Initiatives,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,25726752,3,Proposed,25726752,,,
General Fund,Utilities & Transportation,Transportation,Mobility Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,52120211,3,Proposed,52120211,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,705000,3,Proposed,705000,,,
General Fund,Administration,Information Technology,IT Initiatives,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,15228621,3,Proposed,15228621,,,
General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,50458459,3,Proposed,50458459,,,
General Fund,Administration,Information Technology,Engineering and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,19009130,3,Proposed,19009130,,,
General Fund,Administration,Finance and Administrative Services,Central Waterfront Improvement Program Financial Support,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2049092,3,Proposed,2049092,,,
General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,48479995,3,Proposed,48479995,,,
General Fund,Administration,Information Technology,Capital Improvement Projects,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,10077064,3,Proposed,10077064,,,
General Fund,Administration,Finance and Administrative Services,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,-41699634,3,Proposed,-41699634,,,
General Fund,Administration,Information Technology,Applications Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6699217,3,Proposed,6699217,,,
General Fund,Utilities & Transportation,Public Utilities,Rehabilitation,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,45274241,3,Proposed,45274241,,,
General Fund,Utilities & Transportation,Transportation,Major Maintenance/Replacement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,42492825,3,Proposed,42492825,,,
General Fund,Utilities & Transportation,Transportation,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,40837629,3,Proposed,40837629,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Zoo and Aquarium Programs,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,7108989,3,Proposed,7108989,,,
General Fund,Utilities & Transportation,City Light,Short-Term Purchased Power,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,40406121,3,Proposed,40406121,,,
General Fund,Education & Human Services,Education and Early Learning,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2003756,3,Proposed,2003756,,,
General Fund,Public Safety,Fire,Fire Prevention,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1436857,3,Proposed,1436857,,,
General Fund,Administration,Information Technology,Applications Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3058407,3,Proposed,3058407,,,
General Fund,Utilities & Transportation,Transportation,Mobility-Capital,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,38267051,3,Proposed,38267051,,,
General Fund,Administration,Information Technology,Applications Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,29759810,3,Proposed,29759810,,,
General Fund,Public Safety,Fire,Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,25752466,3,Proposed,25752466,,,
General Fund,Utilities & Transportation,Public Utilities,Distribution,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,36177685,3,Proposed,36177685,,,
General Fund,Administration,Information Technology,IT Initiatives,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1564230,3,Proposed,1564230,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3467073,3,Proposed,3467073,,,
General Fund,Utilities & Transportation,Transportation,General Expense,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,35028548,3,Proposed,35028548,,,
General Fund,Utilities & Transportation,Transportation,Bridges & Structures,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,35010748,3,Proposed,35010748,,,
General Fund,Administration,Information Technology,Applications Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,-515866,3,Proposed,-515866,,,
General Fund,"Arts, Culture & Recreation",Library,Capital Improvements,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3221000,3,Proposed,3221000,,,
General Fund,Administration,Finance and Administrative Services,General Government Facilities - General,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,8550000,3,Proposed,8550000,,,
General Fund,Utilities & Transportation,Transportation,Mobility-Capital,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,34735728,3,Proposed,34735728,,,
General Fund,Administration,Finance and Administrative Services,Judgment & Claims Claims,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1732070,3,Proposed,1732070,,,
General Fund,Utilities & Transportation,Transportation,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,30284326,3,Proposed,30284326,,,
General Fund,Neighborhoods & Development,Housing,Multifamily Housing,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,49620985,3,Proposed,49620985,,,
General Fund,Public Safety,Fire,Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5151374,3,Proposed,5151374,,,
General Fund,Administration,Finance General,Appropriation to Special Funds,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,21937218,3,Proposed,21937218,,,
General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,30074988,3,Proposed,30074988,,,
General Fund,Administration,Finance and Administrative Services,City Purchasing and Contracting Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3846180,3,Proposed,3846180,,,
General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,29573335,3,Proposed,29573335,,,
General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,29145102,3,Proposed,29145102,,,
General Fund,Administration,Finance and Administrative Services,City Finance,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,14110010,3,Proposed,14110010,,,
General Fund,Administration,Finance and Administrative Services,ADA Improvements,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,750000,3,Proposed,750000,,,
General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,25487168,3,Proposed,25487168,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Golf Programs,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,11602434,3,Proposed,11602434,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,120000,3,Proposed,120000,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,842008,3,Proposed,842008,,,
General Fund,"Funds, Subfunds and Other",Debt Service,Bond Interest and Redemption,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2414305,3,Proposed,2414305,,,
General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,24493579,3,Proposed,24493579,,,
General Fund,Public Safety,Police,East Precinct,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,24491836,3,Proposed,24491836,,,
General Fund,Administration,Information Technology,Digital Engagement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Utilities & Transportation,Transportation,Mobility-Capital,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,23076244,3,Proposed,23076244,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Permit Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,22573273,3,Proposed,22573273,,,
General Fund,Public Safety,Police,Patrol Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,12976429,3,Proposed,12976429,,,
General Fund,Public Safety,Fire,Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,27270907,3,Proposed,27270907,,,
General Fund,Administration,Information Technology,Digital Engagement,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3857494,3,Proposed,3857494,,,
General Fund,Public Safety,Municipal Court,Court Compliance,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5666604,3,Proposed,5666604,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,8315407,3,Proposed,8315407,,,
General Fund,Administration,Labor Standards,Office of Labor Standards,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,800000,3,Proposed,800000,,,
General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,22674958,3,Proposed,22674958,,,
General Fund,Utilities & Transportation,Transportation,Mobility-Capital,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,20619830,3,Proposed,20619830,,,
General Fund,"Arts, Culture & Recreation",Arts and Culture,Public Art,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,190039,3,Proposed,190039,,,
General Fund,Education & Human Services,Human Services,Promoting Public Health,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1039923,3,Proposed,1039923,,,
General Fund,Neighborhoods & Development,Neighborhoods,Community Building,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,865613,3,Proposed,865613,,,
General Fund,Utilities & Transportation,City Light,Leadership and Administration - General Expense,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,20536687,3,Proposed,20536687,,,
General Fund,Public Safety,Law,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2114873,3,Proposed,2114873,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,500000,3,Proposed,500000,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1933677,3,Proposed,1933677,,,
General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,18763120,3,Proposed,18763120,,,
General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,18530346,3,Proposed,18530346,,,
General Fund,Utilities & Transportation,City Light,Power Management and Strategic Planning O&M,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,16230545,3,Proposed,16230545,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2536565,3,Proposed,2536565,,,
General Fund,Administration,Information Technology,Engineering and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,21645031,3,Proposed,21645031,,,
General Fund,Utilities & Transportation,City Light,Transmission and Distribution O&M,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,16067349,3,Proposed,16067349,,,
General Fund,Administration,Legislative,Legislative Department,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Administration,Finance and Administrative Services,Capital Development and Construction Management,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Utilities & Transportation,Public Utilities,"Flooding, Sewer Backup & Landslide",2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,16029911,3,Proposed,16029911,,,
General Fund,Public Safety,Police,Office of Police Accountability,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3947291,3,Proposed,3947291,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Land Use Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1672241,3,Proposed,1672241,,,
General Fund,Utilities & Transportation,Public Utilities,Protection of Beneficial Uses,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,15564660,3,Proposed,15564660,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Compliance,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2014135,3,Proposed,2014135,,,
General Fund,Administration,Civil Rights,Civil Rights,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,608906,3,Proposed,608906,,,
General Fund,Public Safety,Law,Civil,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,14227912,3,Proposed,14227912,,,
General Fund,Education & Human Services,Human Services,Promoting Public Health,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,9933788,3,Proposed,9933788,,,
General Fund,Administration,Labor Standards,Office of Labor Standards,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4299133,3,Proposed,4299133,,,
General Fund,Public Safety,Fire,Fire Prevention,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1561693,3,Proposed,1561693,,,
General Fund,Administration,Information Technology,"Security, Risk & Compliance",2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4353752,3,Proposed,4353752,,,
General Fund,"Funds, Subfunds and Other",Fiber Leasing Fund,Fiber Leasing Fund,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Neighborhoods & Development,Neighborhoods,Community Building,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,250000,3,Proposed,250000,,,
General Fund,Utilities & Transportation,Transportation,Maintenance Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,14321050,3,Proposed,14321050,,,
General Fund,Administration,Human Resources,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2690360,3,Proposed,2690360,,,
General Fund,Utilities & Transportation,Transportation,Mobility Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,13670815,3,Proposed,13670815,,,
General Fund,Education & Human Services,Education and Early Learning,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,4463698,3,Proposed,4463698,,,
General Fund,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2215715,3,Proposed,2215715,,,
General Fund,Neighborhoods & Development,Neighborhoods,Community Building,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1895322,3,Proposed,1895322,,,
General Fund,Administration,Finance and Administrative Services,City Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3886890,3,Proposed,3886890,,,
General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2347863,3,Proposed,2347863,,,
General Fund,Utilities & Transportation,Seattle Streetcar,First Hill Streetcar Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,12069474,3,Proposed,12069474,,,
General Fund,Education & Human Services,Human Services,Supporting Affordability and Livability,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,14938949,3,Proposed,14938949,,,
General Fund,Public Safety,Fire,Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,28128703,3,Proposed,28128703,,,
General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3580747,3,Proposed,3580747,,,
General Fund,Administration,Civil Rights,Civil Rights,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1124586,3,Proposed,1124586,,,
General Fund,Utilities & Transportation,Public Utilities,Transmission,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,11897836,3,Proposed,11897836,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,McCaw Hall,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,121000,3,Proposed,121000,,,
General Fund,Administration,Information Technology,Capital Improvement Projects,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,392531,3,Proposed,392531,,,
